id,synsetId,subSynsetId,modelId,split
custom_0000001,fv,fv,fib1-0-0-0-103,train
custom_0000002,fv,fv,fib1-0-0-0-104,train
custom_0000003,fv,fv,fib1-0-0-0-106,train
custom_0000004,fv,fv,fib1-0-0-0-107,train
custom_0000005,fv,fv,fib1-0-0-0-108,train
custom_0000006,fv,fv,fib1-0-0-0-110,train
custom_0000007,fv,fv,fib1-0-0-0-111,train
custom_0000008,fv,fv,fib1-0-0-0-112,train
custom_0000009,fv,fv,fib1-0-0-0-117,train
custom_0000010,fv,fv,fib1-0-0-0-121,train
custom_0000011,fv,fv,fib1-0-0-0-122,train
custom_0000012,fv,fv,fib1-0-0-0-127,train
custom_0000013,fv,fv,fib1-0-0-0-128,train
custom_0000014,fv,fv,fib1-0-0-0-133,train
custom_0000015,fv,fv,fib1-0-0-0-135,train
custom_0000016,fv,fv,fib1-0-0-0-137,train
custom_0000017,fv,fv,fib1-0-0-0-140,train
custom_0000018,fv,fv,fib1-0-0-0-144,train
custom_0000019,fv,fv,fib1-0-0-0-148,train
custom_0000020,fv,fv,fib1-0-0-0-149,train
custom_0000021,fv,fv,fib1-0-0-0-153,train
custom_0000022,fv,fv,fib1-0-0-0-156,train
custom_0000023,fv,fv,fib1-0-0-0-157,train
custom_0000024,fv,fv,fib1-0-0-0-161,train
custom_0000025,fv,fv,fib1-0-0-0-162,train
custom_0000026,fv,fv,fib1-0-0-0-163,train
custom_0000027,fv,fv,fib1-0-0-0-173,train
custom_0000028,fv,fv,fib1-0-0-0-174,train
custom_0000029,fv,fv,fib1-0-0-0-175,train
custom_0000030,fv,fv,fib1-0-0-0-187,train
custom_0000031,fv,fv,fib1-0-0-0-188,train
custom_0000032,fv,fv,fib1-0-0-0-189,train
custom_0000033,fv,fv,fib1-0-0-0-190,train
custom_0000034,fv,fv,fib1-0-0-0-192,train
custom_0000035,fv,fv,fib1-0-0-0-193,train
custom_0000036,fv,fv,fib1-0-0-0-194,train
custom_0000037,fv,fv,fib1-0-0-0-195,train
custom_0000038,fv,fv,fib1-0-0-0-197,train
custom_0000039,fv,fv,fib1-0-0-0-20,train
custom_0000040,fv,fv,fib1-0-0-0-200,train
custom_0000041,fv,fv,fib1-0-0-0-201,train
custom_0000042,fv,fv,fib1-0-0-0-203,train
custom_0000043,fv,fv,fib1-0-0-0-205,train
custom_0000044,fv,fv,fib1-0-0-0-206,train
custom_0000045,fv,fv,fib1-0-0-0-208,train
custom_0000046,fv,fv,fib1-0-0-0-210,train
custom_0000047,fv,fv,fib1-0-0-0-211,train
custom_0000048,fv,fv,fib1-0-0-0-212,train
custom_0000049,fv,fv,fib1-0-0-0-213,train
custom_0000050,fv,fv,fib1-0-0-0-214,train
custom_0000051,fv,fv,fib1-0-0-0-216,train
custom_0000052,fv,fv,fib1-0-0-0-217,train
custom_0000053,fv,fv,fib1-0-0-0-218,train
custom_0000054,fv,fv,fib1-0-0-0-219,train
custom_0000055,fv,fv,fib1-0-0-0-220,train
custom_0000056,fv,fv,fib1-0-0-0-221,train
custom_0000057,fv,fv,fib1-0-0-0-222,train
custom_0000058,fv,fv,fib1-0-0-0-223,train
custom_0000059,fv,fv,fib1-0-0-0-224,train
custom_0000060,fv,fv,fib1-0-0-0-226,train
custom_0000061,fv,fv,fib1-0-0-0-227,train
custom_0000062,fv,fv,fib1-0-0-0-228,train
custom_0000063,fv,fv,fib1-0-0-0-229,train
custom_0000064,fv,fv,fib1-0-0-0-23,train
custom_0000065,fv,fv,fib1-0-0-0-230,train
custom_0000066,fv,fv,fib1-0-0-0-231,train
custom_0000067,fv,fv,fib1-0-0-0-232,train
custom_0000068,fv,fv,fib1-0-0-0-233,train
custom_0000069,fv,fv,fib1-0-0-0-236,train
custom_0000070,fv,fv,fib1-0-0-0-237,train
custom_0000071,fv,fv,fib1-0-0-0-238,train
custom_0000072,fv,fv,fib1-0-0-0-24,train
custom_0000073,fv,fv,fib1-0-0-0-242,train
custom_0000074,fv,fv,fib1-0-0-0-248,train
custom_0000075,fv,fv,fib1-0-0-0-249,train
custom_0000076,fv,fv,fib1-0-0-0-25,train
custom_0000077,fv,fv,fib1-0-0-0-251,train
custom_0000078,fv,fv,fib1-0-0-0-252,train
custom_0000079,fv,fv,fib1-0-0-0-26,train
custom_0000080,fv,fv,fib1-0-0-0-27,train
custom_0000081,fv,fv,fib1-0-0-0-28,train
custom_0000082,fv,fv,fib1-0-0-0-29,train
custom_0000083,fv,fv,fib1-0-0-0-30,train
custom_0000084,fv,fv,fib1-0-0-0-31,train
custom_0000085,fv,fv,fib1-0-0-0-32,train
custom_0000086,fv,fv,fib1-0-0-0-33,train
custom_0000087,fv,fv,fib1-0-0-0-36,train
custom_0000088,fv,fv,fib1-0-0-0-37,train
custom_0000089,fv,fv,fib1-0-0-0-38,train
custom_0000090,fv,fv,fib1-0-0-0-40,train
custom_0000091,fv,fv,fib1-0-0-0-45,train
custom_0000092,fv,fv,fib1-0-0-0-48,train
custom_0000093,fv,fv,fib1-0-0-0-50,train
custom_0000094,fv,fv,fib1-0-0-0-51,train
custom_0000095,fv,fv,fib1-0-0-0-52,train
custom_0000096,fv,fv,fib1-0-0-0-53,train
custom_0000097,fv,fv,fib1-0-0-0-54,train
custom_0000098,fv,fv,fib1-0-0-0-55,train
custom_0000099,fv,fv,fib1-0-0-0-56,train
custom_0000100,fv,fv,fib1-0-0-0-57,train
custom_0000101,fv,fv,fib1-0-0-0-60,train
custom_0000102,fv,fv,fib1-0-0-0-62,train
custom_0000103,fv,fv,fib1-0-0-0-63,train
custom_0000104,fv,fv,fib1-0-0-0-64,train
custom_0000105,fv,fv,fib1-0-0-0-65,train
custom_0000106,fv,fv,fib1-0-0-0-66,train
custom_0000107,fv,fv,fib1-0-0-0-67,train
custom_0000108,fv,fv,fib1-0-0-0-68,train
custom_0000109,fv,fv,fib1-0-0-0-69,train
custom_0000110,fv,fv,fib1-0-0-0-70,train
custom_0000111,fv,fv,fib1-0-0-0-71,train
custom_0000112,fv,fv,fib1-0-0-0-72,train
custom_0000113,fv,fv,fib1-0-0-0-73,train
custom_0000114,fv,fv,fib1-0-0-0-74,train
custom_0000115,fv,fv,fib1-0-0-0-75,train
custom_0000116,fv,fv,fib1-0-0-0-76,train
custom_0000117,fv,fv,fib1-0-0-0-79,train
custom_0000118,fv,fv,fib1-0-0-0-81,train
custom_0000119,fv,fv,fib1-0-0-0-82,train
custom_0000120,fv,fv,fib1-0-0-0-84,train
custom_0000121,fv,fv,fib1-0-0-0-85,train
custom_0000122,fv,fv,fib1-0-0-0-86,train
custom_0000123,fv,fv,fib1-0-0-0-87,train
custom_0000124,fv,fv,fib1-0-0-0-88,train
custom_0000125,fv,fv,fib1-0-0-0-89,train
custom_0000126,fv,fv,fib1-0-0-0-90,train
custom_0000127,fv,fv,fib1-0-0-0-91,train
custom_0000128,fv,fv,fib1-0-0-0-93,train
custom_0000129,fv,fv,fib1-0-0-0-94,train
custom_0000130,fv,fv,fib1-0-0-0-95,train
custom_0000131,fv,fv,fib1-0-0-0-96,train
custom_0000132,fv,fv,fib1-0-0-0-97,train
custom_0000133,fv,fv,fib1-0-0-0-98,train
custom_0000134,fv,fv,fib1-0-0-0-99,train
custom_0000135,fv,fv,fib1-3-2-1-10,train
custom_0000136,fv,fv,fib1-3-2-1-100,train
custom_0000137,fv,fv,fib1-3-2-1-107,train
custom_0000138,fv,fv,fib1-3-2-1-11,train
custom_0000139,fv,fv,fib1-3-2-1-119,train
custom_0000140,fv,fv,fib1-3-2-1-12,train
custom_0000141,fv,fv,fib1-3-2-1-121,train
