id,synsetId,subSynsetId,modelId,split
imgcond_0000000,mito,mito,fib1-0-0-0_inst_000006,train
imgcond_0000001,mito,mito,fib1-0-0-0_inst_000007,train
imgcond_0000002,mito,mito,fib1-0-0-0_inst_000008,train
imgcond_0000003,mito,mito,fib1-0-0-0_inst_000009,train
imgcond_0000004,mito,mito,fib1-0-0-0_inst_000010,train
imgcond_0000005,mito,mito,fib1-0-0-0_inst_000011,train
imgcond_0000006,mito,mito,fib1-0-0-0_inst_000012,train
imgcond_0000007,mito,mito,fib1-0-0-0_inst_000013,train
imgcond_0000008,mito,mito,fib1-0-0-0_inst_000015,train
imgcond_0000009,mito,mito,fib1-0-0-0_inst_000016,train
imgcond_0000010,mito,mito,fib1-0-0-0_inst_000017,train
imgcond_0000011,mito,mito,fib1-0-0-0_inst_000018,train
imgcond_0000012,mito,mito,fib1-0-0-0_inst_000019,train
imgcond_0000013,mito,mito,fib1-0-0-0_inst_000020,train
imgcond_0000014,mito,mito,fib1-0-0-0_inst_000021,train
imgcond_0000015,mito,mito,fib1-0-0-0_inst_000022,train
imgcond_0000016,mito,mito,fib1-0-0-0_inst_000023,train
imgcond_0000017,mito,mito,fib1-0-0-0_inst_000024,train
imgcond_0000018,mito,mito,fib1-0-0-0_inst_000025,train
imgcond_0000019,mito,mito,fib1-0-0-0_inst_000026,train
imgcond_0000020,mito,mito,fib1-0-0-0_inst_000028,train
imgcond_0000021,mito,mito,fib1-0-0-0_inst_000029,train
imgcond_0000022,mito,mito,fib1-0-0-0_inst_000030,train
imgcond_0000023,mito,mito,fib1-0-0-0_inst_000031,train
imgcond_0000024,mito,mito,fib1-0-0-0_inst_000032,train
imgcond_0000025,mito,mito,fib1-0-0-0_inst_000033,train
imgcond_0000026,mito,mito,fib1-0-0-0_inst_000035,train
imgcond_0000027,mito,mito,fib1-0-0-0_inst_000036,train
imgcond_0000028,mito,mito,fib1-1-0-3_inst_000004,train
imgcond_0000029,mito,mito,fib1-1-0-3_inst_000005,train
imgcond_0000030,mito,mito,fib1-1-0-3_inst_000006,train
imgcond_0000031,mito,mito,fib1-1-0-3_inst_000007,train
imgcond_0000032,mito,mito,fib1-1-0-3_inst_000008,train
imgcond_0000033,mito,mito,fib1-1-0-3_inst_000010,train
imgcond_0000034,mito,mito,fib1-1-0-3_inst_000014,train
imgcond_0000035,mito,mito,fib1-3-2-1_inst_000007,train
imgcond_0000036,mito,mito,fib1-3-2-1_inst_000008,train
imgcond_0000037,mito,mito,fib1-3-2-1_inst_000009,train
imgcond_0000038,mito,mito,fib1-3-2-1_inst_000010,train
imgcond_0000039,mito,mito,fib1-3-2-1_inst_000012,train
imgcond_0000040,mito,mito,fib1-3-2-1_inst_000013,train
imgcond_0000041,mito,mito,fib1-3-2-1_inst_000015,train
imgcond_0000042,mito,mito,fib1-3-2-1_inst_000016,train
imgcond_0000043,mito,mito,fib1-3-2-1_inst_000017,train
imgcond_0000044,mito,mito,fib1-3-2-1_inst_000019,train
imgcond_0000045,mito,mito,fib1-3-2-1_inst_000020,train
imgcond_0000046,mito,mito,fib1-3-2-1_inst_000026,train
imgcond_0000047,mito,mito,fib1-3-2-1_inst_000027,train
imgcond_0000048,mito,mito,fib1-3-2-1_inst_000029,train
imgcond_0000049,mito,mito,fib1-3-2-1_inst_000030,train
imgcond_0000050,mito,mito,fib1-3-2-1_inst_000034,train
imgcond_0000051,mito,mito,fib1-3-2-1_inst_000036,train
imgcond_0000052,mito,mito,fib1-3-2-1_inst_000037,train
imgcond_0000053,mito,mito,fib1-3-2-1_inst_000038,train
imgcond_0000054,mito,mito,fib1-3-2-1_inst_000039,train
imgcond_0000055,mito,mito,fib1-3-2-1_inst_000042,train
imgcond_0000056,mito,mito,fib1-3-2-1_inst_000043,train
imgcond_0000057,mito,mito,fib1-3-2-1_inst_000044,train
imgcond_0000058,mito,mito,fib1-3-2-1_inst_000045,train
imgcond_0000059,mito,mito,fib1-3-2-1_inst_000047,train
imgcond_0000060,mito,mito,fib1-3-2-1_inst_000048,train
imgcond_0000061,mito,mito,fib1-3-2-1_inst_000050,train
imgcond_0000062,mito,mito,fib1-3-2-1_inst_000051,train
imgcond_0000063,mito,mito,fib1-3-2-1_inst_000052,train
imgcond_0000064,mito,mito,fib1-3-2-1_inst_000053,train
imgcond_0000065,mito,mito,fib1-3-2-1_inst_000054,train
imgcond_0000066,mito,mito,fib1-3-2-1_inst_000055,train
imgcond_0000067,mito,mito,fib1-3-2-1_inst_000059,train
imgcond_0000068,mito,mito,fib1-3-2-1_inst_000060,train
imgcond_0000069,mito,mito,fib1-3-2-1_inst_000062,train
imgcond_0000070,mito,mito,fib1-3-2-1_inst_000063,train
imgcond_0000071,mito,mito,fib1-3-3-0_inst_000009,val
imgcond_0000072,mito,mito,fib1-3-3-0_inst_000010,val
imgcond_0000073,mito,mito,fib1-3-3-0_inst_000012,val
imgcond_0000074,mito,mito,fib1-3-3-0_inst_000013,val
imgcond_0000075,mito,mito,fib1-3-3-0_inst_000014,val
imgcond_0000076,mito,mito,fib1-3-3-0_inst_000015,val
imgcond_0000077,mito,mito,fib1-3-3-0_inst_000016,val
imgcond_0000078,mito,mito,fib1-3-3-0_inst_000017,val
imgcond_0000079,mito,mito,fib1-3-3-0_inst_000019,val
imgcond_0000080,mito,mito,fib1-3-3-0_inst_000021,val
imgcond_0000081,mito,mito,fib1-3-3-0_inst_000022,val
imgcond_0000082,mito,mito,fib1-3-3-0_inst_000023,val
imgcond_0000083,mito,mito,fib1-3-3-0_inst_000024,val
